age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,4,2,1,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,8,2,4,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,8,2,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
40,1,2,2,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,8,2,4,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
45,8,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
59,1,2,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,2,2,0,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
24,10,3,6,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
25,8,3,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,2,2,0,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
25,8,3,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
29,2,3,4,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
57,4,1,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,2,2,2,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,6,2,3,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,2,2,2,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
46,2,2,2,0,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
50,2,2,3,1,2,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,5,3,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
30,11,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,2,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,6,3,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,10,3,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
37,1,2,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
35,10,2,7,1,1,2,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
59,10,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
39,7,2,3,0,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,10,3,7,0,1,1,1,5,1,2,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,0,2,7,0,0,0,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
46,1,2,0,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
59,10,2,0,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
49,2,2,0,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,5,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
54,2,1,1,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
55,0,2,1,0,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
34,8,2,4,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
52,10,2,3,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
41,1,2,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
56,10,2,1,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
58,5,0,7,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
32,3,2,4,1,2,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
38,1,3,6,1,1,1,1,5,1,1,0,0,2,1.1,93.994,-36.4,4.857,5191,0
